"","Name","Year","Quarter","Day","Visits","Percentage"
"1","DowntownWest",2024,"Q1","Sunday",1072396.4613499,11.6596016070678
"2","DowntownWest",2024,"Q1","Monday",1299689.53093612,14.1308393768074
"3","DowntownWest",2024,"Q1","Tuesday",1316879.794323,14.3177400519171
"4","DowntownWest",2024,"Q1","Wednesday",1400605.82917044,15.2280491079837
"5","DowntownWest",2024,"Q1","Thursday",1418371.75335253,15.4212086395658
"6","DowntownWest",2024,"Q1","Friday",1400778.41891933,15.2299255853744
"7","DowntownWest",2024,"Q1","Saturday",1288817.69477142,14.0126356312839
"8","DowntownYonge",2024,"Q1","Sunday",1035364.24608636,12.4008362753201
"9","DowntownYonge",2024,"Q1","Monday",1192027.71095469,14.2772367648097
"10","DowntownYonge",2024,"Q1","Tuesday",1186640.03325325,14.2127070987213
"11","DowntownYonge",2024,"Q1","Wednesday",1264484.19302673,15.1450675544641
"12","DowntownYonge",2024,"Q1","Thursday",1230231.23918996,14.7348107061312
"13","DowntownYonge",2024,"Q1","Friday",1254129.83289513,15.0210505959752
"14","DowntownYonge",2024,"Q1","Saturday",1186271.32699173,14.2082910045785
"15","FinancialDistrict",2024,"Q1","Sunday",784734.364049632,8.66650668471296
"16","FinancialDistrict",2024,"Q1","Monday",1304252.03818215,14.4039939185602
"17","FinancialDistrict",2024,"Q1","Tuesday",1443703.2359377,15.9440752414973
"18","FinancialDistrict",2024,"Q1","Wednesday",1571300.4421109,17.3532425864114
"19","FinancialDistrict",2024,"Q1","Thursday",1529289.02629583,16.8892738440249
"20","FinancialDistrict",2024,"Q1","Friday",1408468.45049869,15.5549467446059
"21","FinancialDistrict",2024,"Q1","Saturday",1013046.86700189,11.1879609801874
"22","Greektown",2024,"Q1","Sunday",124497.173628472,11.3941313020305
"23","Greektown",2024,"Q1","Monday",142679.266651336,13.0581783579619
"24","Greektown",2024,"Q1","Tuesday",162246.065693158,14.8489553767904
"25","Greektown",2024,"Q1","Wednesday",160422.921993712,14.6820990692251
"26","Greektown",2024,"Q1","Thursday",169448.971196527,15.5081739652093
"27","Greektown",2024,"Q1","Friday",169098.207491826,15.4760716484187
"28","Greektown",2024,"Q1","Saturday",164250.354254908,15.0323902803641
"29","Leslieville",2024,"Q1","Sunday",110731.782447877,12.5806534316005
"30","Leslieville",2024,"Q1","Monday",109259.222729789,12.4133503948295
"31","Leslieville",2024,"Q1","Tuesday",119474.453030944,13.5739410518372
"32","Leslieville",2024,"Q1","Wednesday",137614.577479158,15.6349086786927
"33","Leslieville",2024,"Q1","Thursday",130208.015070108,14.7934213231393
"34","Leslieville",2024,"Q1","Friday",136302.920924232,15.4858864542326
"35","Leslieville",2024,"Q1","Saturday",136584.156342141,15.5178386656681
"36","LibertyVillage",2024,"Q1","Sunday",112431.770632928,10.034510810268
"37","LibertyVillage",2024,"Q1","Monday",149465.443381107,13.3397579609936
"38","LibertyVillage",2024,"Q1","Tuesday",174996.750883488,15.6184215423878
"39","LibertyVillage",2024,"Q1","Wednesday",183280.355953468,16.3577314736891
"40","LibertyVillage",2024,"Q1","Thursday",179173.991446095,15.991239344212
"41","LibertyVillage",2024,"Q1","Friday",172533.230823042,15.398552918611
"42","LibertyVillage",2024,"Q1","Saturday",148569.396230901,13.2597859498385
"43","PapeVillage",2024,"Q1","Sunday",50504.048544143,12.630413752322
"44","PapeVillage",2024,"Q1","Monday",53286.106790704,13.3261707807196
"45","PapeVillage",2024,"Q1","Tuesday",59415.385163691,14.859024563448
"46","PapeVillage",2024,"Q1","Wednesday",56901.041458402,14.2302195026895
"47","PapeVillage",2024,"Q1","Thursday",57986.174704195,14.5015973875493
"48","PapeVillage",2024,"Q1","Friday",58821.641079976,14.7105367955068
"49","PapeVillage",2024,"Q1","Saturday",62946.204884503,15.7420372177649
"50","QueenStreet",2024,"Q1","Sunday",257090.009049262,12.8080440674348
"51","QueenStreet",2024,"Q1","Monday",270146.102719204,13.4584895036133
"52","QueenStreet",2024,"Q1","Tuesday",263198.313799818,13.1123555290578
"53","QueenStreet",2024,"Q1","Wednesday",300106.730305584,14.9511069718434
"54","QueenStreet",2024,"Q1","Thursday",284148.368724471,14.1560725824059
"55","QueenStreet",2024,"Q1","Friday",309600.567453079,15.4240832847069
"56","QueenStreet",2024,"Q1","Saturday",322964.159227492,16.0898480609378
"57","Riverside",2024,"Q1","Sunday",63839.651875103,11.232797163169
"58","Riverside",2024,"Q1","Monday",68929.793589768,12.1284243749915
"59","Riverside",2024,"Q1","Tuesday",85856.511783186,15.1067362316534
"60","Riverside",2024,"Q1","Wednesday",94172.426708423,16.5699488720373
"61","Riverside",2024,"Q1","Thursday",81394.017715598,14.3215456920633
"62","Riverside",2024,"Q1","Friday",85416.707493999,15.0293512173743
"63","Riverside",2024,"Q1","Saturday",88723.523817143,15.6111964487111
"64","StLawrenceMarket",2024,"Q1","Sunday",572781.30820681,10.579240217087
"65","StLawrenceMarket",2024,"Q1","Monday",778621.823925624,14.3811035652746
"66","StLawrenceMarket",2024,"Q1","Tuesday",828797.846820371,15.3078520323352
"67","StLawrenceMarket",2024,"Q1","Wednesday",856537.096226764,15.8201944895823
"68","StLawrenceMarket",2024,"Q1","Thursday",842092.879264386,15.5534105725737
"69","StLawrenceMarket",2024,"Q1","Friday",798728.958250434,14.7524812639732
"70","StLawrenceMarket",2024,"Q1","Saturday",736640.884841934,13.6057178591739
"71","WestQueenWest",2024,"Q1","Sunday",181234.766552663,13.0377634270928
"72","WestQueenWest",2024,"Q1","Monday",182349.235082345,13.1179366593777
