"","Name","Year","Quarter","Target Count","Control Count","Change","time_window"
"1","DowntownWest",2024,"Q1",9197539.48282276,7920648.68040107,16.1210382374519,"Year Over Year"
"2","DowntownWest",2024,"Q1",9197539.48282276,7636897.333904,20.4355523019838,"Construction Start"
"3","DowntownWest",2024,"Q1",9197539.48282276,19827673.710721,-53.6126142833914,"Pre Pandemic"
"4","DowntownWest",2024,"Q1",9197539.48282276,10294835.1228029,-10.6587004734987,"Last Quarter"
"5","DowntownYonge",2024,"Q1",8349148.58239784,6998430.00159785,19.3003085047876,"Year Over Year"
"6","DowntownYonge",2024,"Q1",8349148.58239784,6595046.155896,26.5972729384717,"Construction Start"
"7","DowntownYonge",2024,"Q1",8349148.58239784,14092177.72531,-40.7533119071972,"Pre Pandemic"
"8","DowntownYonge",2024,"Q1",8349148.58239784,9541899.79968866,-12.5001440208975,"Last Quarter"
"9","FinancialDistrict",2024,"Q1",9054794.42407679,7805854.44070965,16.0000419281916,"Year Over Year"
"10","FinancialDistrict",2024,"Q1",9054794.42407679,8760654.133003,3.35751516505726,"Construction Start"
"11","FinancialDistrict",2024,"Q1",9054794.42407679,23634295.594913,-61.6879022786457,"Pre Pandemic"
"12","FinancialDistrict",2024,"Q1",9054794.42407679,10148539.8041973,-10.7773670027697,"Last Quarter"
"13","Greektown",2024,"Q1",1092642.96090994,1222292.05710269,-10.607047263325,"Year Over Year"
"14","Greektown",2024,"Q1",1092642.96090994,925931.032523,18.0047889671305,"Construction Start"
"15","Greektown",2024,"Q1",1092642.96090994,1815070.328737,-39.8016185042128,"Pre Pandemic"
"16","Greektown",2024,"Q1",1092642.96090994,1328270.95688392,-17.7394525381145,"Last Quarter"
"17","Leslieville",2024,"Q1",880175.128024249,907356.417275768,-2.99565735514691,"Year Over Year"
"18","Leslieville",2024,"Q1",880175.128024249,663246.109789,32.7071678270772,"Construction Start"
"19","Leslieville",2024,"Q1",880175.128024249,1028539.124233,-14.4247304466312,"Pre Pandemic"
"20","Leslieville",2024,"Q1",880175.128024249,1017271.87347764,-13.4769031787655,"Last Quarter"
"21","LibertyVillage",2024,"Q1",1120450.93935103,1064999.85905096,5.20667489566423,"Year Over Year"
"22","LibertyVillage",2024,"Q1",1120450.93935103,708187.987596,58.2137735990818,"Construction Start"
"23","LibertyVillage",2024,"Q1",1120450.93935103,2243656.824576,-50.0613941009999,"Pre Pandemic"
"24","LibertyVillage",2024,"Q1",1120450.93935103,1337763.60520176,-16.2444743604724,"Last Quarter"
"25","PapeVillage",2024,"Q1",399860.602625614,480409.324421812,-16.7666857618014,"Year Over Year"
"26","PapeVillage",2024,"Q1",399860.602625614,330038.798447,21.1556351880933,"Construction Start"
"27","PapeVillage",2024,"Q1",399860.602625614,448152.800207,-10.7758330549491,"Pre Pandemic"
"28","PapeVillage",2024,"Q1",399860.602625614,485363.68244937,-17.6162912297574,"Last Quarter"
"29","QueenStreet",2024,"Q1",2007254.25127891,2045411.53431862,-1.86550639807647,"Year Over Year"
"30","QueenStreet",2024,"Q1",2007254.25127891,1665061.536087,20.5513554769924,"Construction Start"
"31","QueenStreet",2024,"Q1",2007254.25127891,4046638.150222,-50.396991854367,"Pre Pandemic"
"32","QueenStreet",2024,"Q1",2007254.25127891,2377289.70110804,-15.5654335967829,"Last Quarter"
"33","Riverside",2024,"Q1",568332.63298322,681151.711641617,-16.5629883519629,"Year Over Year"
"34","Riverside",2024,"Q1",568332.63298322,492279.751331,15.4491184020046,"Construction Start"
"35","Riverside",2024,"Q1",568332.63298322,859921.886769,-33.9088070989068,"Pre Pandemic"
"36","Riverside",2024,"Q1",568332.63298322,656406.899065053,-13.4176326006446,"Last Quarter"
"37","StLawrenceMarket",2024,"Q1",5414200.79753632,5103446.0470827,6.0891160127236,"Year Over Year"
"38","StLawrenceMarket",2024,"Q1",5414200.79753632,4346041.365923,24.5777557477636,"Construction Start"
"39","StLawrenceMarket",2024,"Q1",5414200.79753632,10405789.183687,-47.9693399321977,"Pre Pandemic"
"40","StLawrenceMarket",2024,"Q1",5414200.79753632,6075515.02182267,-10.8849080598266,"Last Quarter"
"41","WestQueenWest",2024,"Q1",1390075.58747425,1499487.25722601,-7.29660550461548,"Year Over Year"
"42","WestQueenWest",2024,"Q1",1390075.58747425,717431.236982,93.7573269491092,"Construction Start"
"43","WestQueenWest",2024,"Q1",1390075.58747425,1715392.768687,-18.9645885858405,"Pre Pandemic"
"44","WestQueenWest",2024,"Q1",1390075.58747425,1659382.14706637,-16.2293272871608,"Last Quarter"
"45","DowntownWest",2023,"Q1",7920648.68,7636897.334,3.715531768,"Year Over Year"
"46","DowntownWest",2023,"Q1",7920648.68,7636897.334,3.715531768,"Construction Start"
"47","DowntownWest",2023,"Q1",7920648.68,19827673.71,-60.05255687,"Pre Pandemic"
"48","DowntownWest",2023,"Q1",7920648.68,8672427.248,-8.668606212,"Last Quarter"
"49","DowntownYonge",2023,"Q1",6998430.002,6595046.156,6.116467363,"Year Over Year"
"50","DowntownYonge",2023,"Q1",6998430.002,6595046.156,6.116467363,"Construction Start"
"51","DowntownYonge",2023,"Q1",6998430.002,14092177.73,-50.33819373,"Pre Pandemic"
"52","DowntownYonge",2023,"Q1",6998430.002,7842739.752,-10.76549493,"Last Quarter"
"53","FinancialDistrict",2023,"Q1",7805854.441,8760654.133,-10.89872603,"Year Over Year"
"54","FinancialDistrict",2023,"Q1",7805854.441,8760654.133,-10.89872603,"Construction Start"
"55","FinancialDistrict",2023,"Q1",7805854.441,23634295.59,-66.97234149,"Pre Pandemic"
"56","FinancialDistrict",2023,"Q1",7805854.441,9162155.379,-14.80329553,"Last Quarter"
"57","GerrardIndiaBaz",2023,"Q1",323667.6173,202571.0811,59.77977487,"Year Over Year"
"58","GerrardIndiaBaz",2023,"Q1",323667.6173,202571.0811,59.77977487,"Construction Start"
"59","GerrardIndiaBaz",2023,"Q1",323667.6173,295315.2877,9.600698224,"Pre Pandemic"
"60","GerrardIndiaBaz",2023,"Q1",323667.6173,316798.6155,2.168255007,"Last Quarter"
"61","Greektown",2023,"Q1",1222292.057,925931.0325,32.00681413,"Year Over Year"
"62","Greektown",2023,"Q1",1222292.057,925931.0325,32.00681413,"Construction Start"
"63","Greektown",2023,"Q1",1222292.057,1815070.329,-32.65869439,"Pre Pandemic"
"64","Greektown",2023,"Q1",1222292.057,1090773.648,12.05735118,"Last Quarter"
"65","Leslieville",2023,"Q1",907356.4173,663246.1098,36.80538851,"Year Over Year"
"66","Leslieville",2023,"Q1",907356.4173,663246.1098,36.80538851,"Construction Start"
"67","Leslieville",2023,"Q1",907356.4173,1028539.124,-11.7820221,"Pre Pandemic"
"68","Leslieville",2023,"Q1",907356.4173,868256.6297,4.50325241,"Last Quarter"
"69","LibertyVillage",2023,"Q1",1064999.859,708187.9876,50.38377912,"Year Over Year"
"70","LibertyVillage",2023,"Q1",1064999.859,708187.9876,50.38377912,"Construction Start"
"71","LibertyVillage",2023,"Q1",1064999.859,2243656.825,-52.53285407,"Pre Pandemic"
"72","LibertyVillage",2023,"Q1",1064999.859,1115729.262,-4.546748463,"Last Quarter"
"73","PapeVillage",2023,"Q1",480409.3244,330038.7984,45.56146934,"Year Over Year"
"74","PapeVillage",2023,"Q1",480409.3244,330038.7984,45.56146934,"Construction Start"
"75","PapeVillage",2023,"Q1",480409.3244,448152.8002,7.197662092,"Pre Pandemic"
"76","PapeVillage",2023,"Q1",480409.3244,425139.2814,13.00045548,"Last Quarter"
"77","QueenStreet",2023,"Q1",2045411.534,1665061.536,22.84299949,"Year Over Year"
"78","QueenStreet",2023,"Q1",2045411.534,1665061.536,22.84299949,"Construction Start"
"79","QueenStreet",2023,"Q1",2045411.534,4046638.15,-49.454054,"Pre Pandemic"
"80","QueenStreet",2023,"Q1",2045411.534,2037856.019,0.370758069,"Last Quarter"
"81","Riverside",2023,"Q1",681151.7116,492279.7513,38.36679445,"Year Over Year"
"82","Riverside",2023,"Q1",681151.7116,492279.7513,38.36679445,"Construction Start"
"83","Riverside",2023,"Q1",681151.7116,859921.8868,-20.78911793,"Pre Pandemic"
"84","Riverside",2023,"Q1",681151.7116,636090.9432,7.084013532,"Last Quarter"
"85","StLawrenceMarket",2023,"Q1",5103446.047,4346041.366,17.42746139,"Year Over Year"
"86","StLawrenceMarket",2023,"Q1",5103446.047,4346041.366,17.42746139,"Construction Start"
"87","StLawrenceMarket",2023,"Q1",5103446.047,10405789.18,-50.95570401,"Pre Pandemic"
"88","StLawrenceMarket",2023,"Q1",5103446.047,5302669.727,-3.757044857,"Last Quarter"
"89","WestQueenWest",2023,"Q1",1499487.257,717431.237,109.0078017,"Year Over Year"
"90","WestQueenWest",2023,"Q1",1499487.257,717431.237,109.0078017,"Construction Start"
"91","WestQueenWest",2023,"Q1",1499487.257,1715392.769,-12.58636013,"Pre Pandemic"
"92","WestQueenWest",2023,"Q1",1499487.257,1323132.989,13.32853685,"Last Quarter"
"93","DowntownWest",2023,"Q2",9118399.871,9734490.822,-6.32894891,"Year Over Year"
"94","DowntownWest",2023,"Q2",9118399.871,9734490.822,-6.32894891,"Construction Start"
"95","DowntownWest",2023,"Q2",9118399.871,19983399.32,-54.3701263,"Pre Pandemic"
"96","DowntownWest",2023,"Q2",9118399.871,7920648.68,15.12188255,"Last Quarter"
"97","DowntownYonge",2023,"Q2",8170857.26,8955431.414,-8.760875027,"Year Over Year"
"98","DowntownYonge",2023,"Q2",8170857.26,8955431.414,-8.760875027,"Construction Start"
"99","DowntownYonge",2023,"Q2",8170857.26,14410232.06,-43.29822568,"Pre Pandemic"
"100","DowntownYonge",2023,"Q2",8170857.26,6998430.002,16.75271822,"Last Quarter"
"101","FinancialDistrict",2023,"Q2",8635344.64,10924045.59,-20.95103805,"Year Over Year"
"102","FinancialDistrict",2023,"Q2",8635344.64,10924045.59,-20.95103805,"Construction Start"
"103","FinancialDistrict",2023,"Q2",8635344.64,23828304.86,-63.76013866,"Pre Pandemic"
"104","FinancialDistrict",2023,"Q2",8635344.64,7805854.441,10.6265138,"Last Quarter"
"105","GerrardIndiaBaz",2023,"Q2",368009.1772,223534.5157,64.63192545,"Year Over Year"
"106","GerrardIndiaBaz",2023,"Q2",368009.1772,223534.5157,64.63192545,"Construction Start"
"107","GerrardIndiaBaz",2023,"Q2",368009.1772,304188.9981,20.98043635,"Pre Pandemic"
"108","GerrardIndiaBaz",2023,"Q2",368009.1772,323667.6173,13.69972079,"Last Quarter"
"109","Greektown",2023,"Q2",1204284.245,1002153.891,20.16959232,"Year Over Year"
"110","Greektown",2023,"Q2",1204284.245,1002153.891,20.16959232,"Construction Start"
"111","Greektown",2023,"Q2",1204284.245,1875765.227,-35.79770924,"Pre Pandemic"
"112","Greektown",2023,"Q2",1204284.245,1222292.057,-1.473282245,"Last Quarter"
"113","Leslieville",2023,"Q2",987173.0688,720845.9347,36.94647098,"Year Over Year"
"114","Leslieville",2023,"Q2",987173.0688,720845.9347,36.94647098,"Construction Start"
"115","Leslieville",2023,"Q2",987173.0688,1117181.873,-11.63721034,"Pre Pandemic"
"116","Leslieville",2023,"Q2",987173.0688,907356.4173,8.796615092,"Last Quarter"
"117","LibertyVillage",2023,"Q2",1334808.923,998509.0875,33.68019777,"Year Over Year"
"118","LibertyVillage",2023,"Q2",1334808.923,998509.0875,33.68019777,"Construction Start"
"119","LibertyVillage",2023,"Q2",1334808.923,2323371.492,-42.54862265,"Pre Pandemic"
"120","LibertyVillage",2023,"Q2",1334808.923,1064999.859,25.33418776,"Last Quarter"
"121","PapeVillage",2023,"Q2",497908.4199,356200.1483,39.78332749,"Year Over Year"
"122","PapeVillage",2023,"Q2",497908.4199,356200.1483,39.78332749,"Construction Start"
"123","PapeVillage",2023,"Q2",497908.4199,476313.9698,4.533658774,"Pre Pandemic"
"124","PapeVillage",2023,"Q2",497908.4199,480409.3244,3.642538676,"Last Quarter"
"125","QueenStreet",2023,"Q2",2136281.535,1973866.434,8.228272124,"Year Over Year"
"126","QueenStreet",2023,"Q2",2136281.535,1973866.434,8.228272124,"Construction Start"
"127","QueenStreet",2023,"Q2",2136281.535,4282060.568,-50.11089867,"Pre Pandemic"
"128","QueenStreet",2023,"Q2",2136281.535,2045411.534,4.442626807,"Last Quarter"
"129","Riverside",2023,"Q2",664679.5431,523099.8497,27.0655198,"Year Over Year"
"130","Riverside",2023,"Q2",664679.5431,523099.8497,27.0655198,"Construction Start"
"131","Riverside",2023,"Q2",664679.5431,832635.8069,-20.17163596,"Pre Pandemic"
"132","Riverside",2023,"Q2",664679.5431,681151.7116,-2.418281899,"Last Quarter"
"133","StLawrenceMarket",2023,"Q2",5388743.637,5210999.197,3.410947371,"Year Over Year"
"134","StLawrenceMarket",2023,"Q2",5388743.637,5210999.197,3.410947371,"Construction Start"
"135","StLawrenceMarket",2023,"Q2",5388743.637,10707217.79,-49.67185928,"Pre Pandemic"
"136","StLawrenceMarket",2023,"Q2",5388743.637,5103446.047,5.590293048,"Last Quarter"
"137","WestQueenWest",2023,"Q2",1482848.528,1075417.07,37.88590201,"Year Over Year"
"138","WestQueenWest",2023,"Q2",1482848.528,1075417.07,37.88590201,"Construction Start"
"139","WestQueenWest",2023,"Q2",1482848.528,1884433.009,-21.31062658,"Pre Pandemic"
"140","WestQueenWest",2023,"Q2",1482848.528,1499487.257,-1.109627949,"Last Quarter"
"141","DowntownWest",2023,"Q3",10792859.71,8047837.525,34.1088171,"Year Over Year"
"142","DowntownWest",2023,"Q3",10792859.71,8047837.525,34.1088171,"Construction Start"
"143","DowntownWest",2023,"Q3",10792859.71,19371903.06,-44.2860122,"Pre Pandemic"
"144","DowntownWest",2023,"Q3",10792859.71,9118399.871,18.36352715,"Last Quarter"
"145","DowntownYonge",2023,"Q3",10131440.44,7924239.74,27.85378496,"Year Over Year"
"146","DowntownYonge",2023,"Q3",10131440.44,7924239.74,27.85378496,"Construction Start"
"147","DowntownYonge",2023,"Q3",10131440.44,13580570.67,-25.39753535,"Pre Pandemic"
"148","DowntownYonge",2023,"Q3",10131440.44,8170857.26,23.99482838,"Last Quarter"
"149","FinancialDistrict",2023,"Q3",10934400.61,8811456.686,24.09299616,"Year Over Year"
"150","FinancialDistrict",2023,"Q3",10934400.61,8811456.686,24.09299616,"Construction Start"
"151","FinancialDistrict",2023,"Q3",10934400.61,22887711.37,-52.22588912,"Pre Pandemic"
"152","FinancialDistrict",2023,"Q3",10934400.61,8635344.64,26.62378936,"Last Quarter"
"153","GerrardIndiaBaz",2023,"Q3",459737.9983,209257.8059,119.6993303,"Year Over Year"
"154","GerrardIndiaBaz",2023,"Q3",459737.9983,209257.8059,119.6993303,"Construction Start"
"155","GerrardIndiaBaz",2023,"Q3",459737.9983,310703.789,47.9666533,"Pre Pandemic"
"156","GerrardIndiaBaz",2023,"Q3",459737.9983,368009.1772,24.92568849,"Last Quarter"
"157","Greektown",2023,"Q3",1557667.503,823816.6552,89.07938954,"Year Over Year"
"158","Greektown",2023,"Q3",1557667.503,823816.6552,89.07938954,"Construction Start"
"159","Greektown",2023,"Q3",1557667.503,1892203.304,-17.67969651,"Pre Pandemic"
"160","Greektown",2023,"Q3",1557667.503,1204284.245,29.34384128,"Last Quarter"
"161","Leslieville",2023,"Q3",1142777.907,630123.9455,81.35763847,"Year Over Year"
"162","Leslieville",2023,"Q3",1142777.907,630123.9455,81.35763847,"Construction Start"
"163","Leslieville",2023,"Q3",1142777.907,1112900.196,2.684671167,"Pre Pandemic"
"164","Leslieville",2023,"Q3",1142777.907,987173.0688,15.7626705,"Last Quarter"
"165","LibertyVillage",2023,"Q3",1498446.005,1017607.344,47.25188586,"Year Over Year"
"166","LibertyVillage",2023,"Q3",1498446.005,1017607.344,47.25188586,"Construction Start"
"167","LibertyVillage",2023,"Q3",1498446.005,2495346.368,-39.95038028,"Pre Pandemic"
"168","LibertyVillage",2023,"Q3",1498446.005,1334808.923,12.25921395,"Last Quarter"
"169","PapeVillage",2023,"Q3",610143.3928,260382.0749,134.3261889,"Year Over Year"
"170","PapeVillage",2023,"Q3",610143.3928,260382.0749,134.3261889,"Construction Start"
"171","PapeVillage",2023,"Q3",610143.3928,433174.6178,40.85391152,"Pre Pandemic"
"172","PapeVillage",2023,"Q3",610143.3928,497908.4199,22.54128841,"Last Quarter"
"173","QueenStreet",2023,"Q3",2719485.736,1587663.015,71.28859909,"Year Over Year"
"174","QueenStreet",2023,"Q3",2719485.736,1587663.015,71.28859909,"Construction Start"
"175","QueenStreet",2023,"Q3",2719485.736,4232281.982,-35.74422149,"Pre Pandemic"
"176","QueenStreet",2023,"Q3",2719485.736,2136281.535,27.29996919,"Last Quarter"
"177","Riverside",2023,"Q3",797444.1488,457596.955,74.26780053,"Year Over Year"
"178","Riverside",2023,"Q3",797444.1488,457596.955,74.26780053,"Construction Start"
"179","Riverside",2023,"Q3",797444.1488,840741.5771,-5.149909256,"Pre Pandemic"
"180","Riverside",2023,"Q3",797444.1488,664679.5431,19.97422775,"Last Quarter"
"181","StLawrenceMarket",2023,"Q3",6574708.991,4374892.885,50.28274207,"Year Over Year"
"182","StLawrenceMarket",2023,"Q3",6574708.991,4374892.885,50.28274207,"Construction Start"
"183","StLawrenceMarket",2023,"Q3",6574708.991,10371554.32,-36.60825764,"Pre Pandemic"
"184","StLawrenceMarket",2023,"Q3",6574708.991,5388743.637,22.00819772,"Last Quarter"
"185","WestQueenWest",2023,"Q3",1924143.911,1033569.729,86.16488619,"Year Over Year"
"186","WestQueenWest",2023,"Q3",1924143.911,1033569.729,86.16488619,"Construction Start"
"187","WestQueenWest",2023,"Q3",1924143.911,1824316.27,5.472057797,"Pre Pandemic"
"188","WestQueenWest",2023,"Q3",1924143.911,1482848.528,29.75997716,"Last Quarter"
"189","DowntownWest",2023,"Q4",10294835.12,8672427.248,18.70765622,"Year Over Year"
"190","DowntownWest",2023,"Q4",10294835.12,8672427.248,18.70765622,"Construction Start"
"191","DowntownWest",2023,"Q4",10294835.12,16838658.01,-38.86190268,"Pre Pandemic"
"192","DowntownWest",2023,"Q4",10294835.12,10792859.71,-4.614389492,"Last Quarter"
"193","DowntownYonge",2023,"Q4",9541899.8,7842739.752,21.66538865,"Year Over Year"
"194","DowntownYonge",2023,"Q4",9541899.8,7842739.752,21.66538865,"Construction Start"
"195","DowntownYonge",2023,"Q4",9541899.8,13391306.78,-28.74556641,"Pre Pandemic"
"196","DowntownYonge",2023,"Q4",9541899.8,10131440.44,-5.818922199,"Last Quarter"
"197","FinancialDistrict",2023,"Q4",10148539.8,9162155.379,10.76585568,"Year Over Year"
"198","FinancialDistrict",2023,"Q4",10148539.8,9162155.379,10.76585568,"Construction Start"
"199","FinancialDistrict",2023,"Q4",10148539.8,21272127.18,-52.29184313,"Pre Pandemic"
"200","FinancialDistrict",2023,"Q4",10148539.8,10934400.61,-7.187049671,"Last Quarter"
"201","GerrardIndiaBaz",2023,"Q4",375740.9803,316798.6155,18.60562578,"Year Over Year"
"202","GerrardIndiaBaz",2023,"Q4",375740.9803,316798.6155,18.60562578,"Construction Start"
"203","GerrardIndiaBaz",2023,"Q4",375740.9803,314850.3826,19.3395343,"Pre Pandemic"
"204","GerrardIndiaBaz",2023,"Q4",375740.9803,459737.9983,-18.27062767,"Last Quarter"
"205","Greektown",2023,"Q4",1328270.957,1090773.648,21.77328995,"Year Over Year"
"206","Greektown",2023,"Q4",1328270.957,1090773.648,21.77328995,"Construction Start"
"207","Greektown",2023,"Q4",1328270.957,1680471.956,-20.9584574,"Pre Pandemic"
"208","Greektown",2023,"Q4",1328270.957,1557667.503,-14.72692634,"Last Quarter"
"209","Leslieville",2023,"Q4",1017271.873,868256.6297,17.16258059,"Year Over Year"
"210","Leslieville",2023,"Q4",1017271.873,868256.6297,17.16258059,"Construction Start"
"211","Leslieville",2023,"Q4",1017271.873,1019773.032,-0.245266183,"Pre Pandemic"
"212","Leslieville",2023,"Q4",1017271.873,1142777.907,-10.98253937,"Last Quarter"
"213","LibertyVillage",2023,"Q4",1337763.605,1115729.262,19.90037822,"Year Over Year"
"214","LibertyVillage",2023,"Q4",1337763.605,1115729.262,19.90037822,"Construction Start"
"215","LibertyVillage",2023,"Q4",1337763.605,2059499.246,-35.04422942,"Pre Pandemic"
"216","LibertyVillage",2023,"Q4",1337763.605,1498446.005,-10.72326924,"Last Quarter"
"217","PapeVillage",2023,"Q4",485363.6824,425139.2814,14.16580487,"Year Over Year"
"218","PapeVillage",2023,"Q4",485363.6824,425139.2814,14.16580487,"Construction Start"
