"","Name","Year","Quarter","Time","Visits","Percentage"
"1","DowntownWest",2024,"Q1","Early Morning: 12am - 6am",1691032.41622278,18.385704343873
"2","DowntownWest",2024,"Q1","Morning: 6am - 12pm",2776555.48399169,30.1880246252507
"3","DowntownWest",2024,"Q1","Afternoon: 12pm - 6pm",2585986.06487099,28.1160637548831
"4","DowntownWest",2024,"Q1","Evening: 6pm - 12am",2143965.51773729,23.3102072759932
"5","DowntownYonge",2024,"Q1","Early Morning: 12am - 6am",1159272.14260161,13.8849145054821
"6","DowntownYonge",2024,"Q1","Morning: 6am - 12pm",2509690.88011746,30.0592432312024
"7","DowntownYonge",2024,"Q1","Afternoon: 12pm - 6pm",2952180.2910568,35.3590580155772
"8","DowntownYonge",2024,"Q1","Evening: 6pm - 12am",1728005.26862198,20.6967842477383
"9","FinancialDistrict",2024,"Q1","Early Morning: 12am - 6am",778361.965385207,8.59613072291884
"10","FinancialDistrict",2024,"Q1","Morning: 6am - 12pm",3765838.19379861,41.5894388920107
"11","FinancialDistrict",2024,"Q1","Afternoon: 12pm - 6pm",2767190.78320875,30.5605036802466
"12","FinancialDistrict",2024,"Q1","Evening: 6pm - 12am",1743403.48168422,19.2539267048238
"13","Greektown",2024,"Q1","Early Morning: 12am - 6am",62443.853593694,5.71493670189314
"14","Greektown",2024,"Q1","Morning: 6am - 12pm",327179.033385229,29.9438192612121
"15","Greektown",2024,"Q1","Afternoon: 12pm - 6pm",406651.606985893,37.2172449312481
"16","Greektown",2024,"Q1","Evening: 6pm - 12am",296368.466945123,27.1239991056467
"17","Leslieville",2024,"Q1","Early Morning: 12am - 6am",71945.797470386,8.17403209653112
"18","Leslieville",2024,"Q1","Morning: 6am - 12pm",252749.14767262,28.715779351772
"19","Leslieville",2024,"Q1","Afternoon: 12pm - 6pm",327564.382667533,37.2158190157935
"20","Leslieville",2024,"Q1","Evening: 6pm - 12am",227915.80021371,25.8943695359034
"21","LibertyVillage",2024,"Q1","Early Morning: 12am - 6am",121018.549855932,10.8008789680721
"22","LibertyVillage",2024,"Q1","Morning: 6am - 12pm",384611.985879273,34.3265351807409
"23","LibertyVillage",2024,"Q1","Afternoon: 12pm - 6pm",371140.89945656,33.1242436792035
"24","LibertyVillage",2024,"Q1","Evening: 6pm - 12am",243679.504159264,21.7483421719834
"25","PapeVillage",2024,"Q1","Early Morning: 12am - 6am",20508.776067318,5.12898143319215
"26","PapeVillage",2024,"Q1","Morning: 6am - 12pm",130714.934388631,32.6901258914518
"27","PapeVillage",2024,"Q1","Afternoon: 12pm - 6pm",151414.282098183,37.8667668442322
"28","PapeVillage",2024,"Q1","Evening: 6pm - 12am",97222.610071482,24.3141258311239
"29","QueenStreet",2024,"Q1","Early Morning: 12am - 6am",147252.335176239,7.33600813561202
"30","QueenStreet",2024,"Q1","Morning: 6am - 12pm",508809.986561729,25.3485569273321
"31","QueenStreet",2024,"Q1","Afternoon: 12pm - 6pm",802594.398643725,39.984690436319
"32","QueenStreet",2024,"Q1","Evening: 6pm - 12am",548597.530897217,27.3307445007368
"33","Riverside",2024,"Q1","Early Morning: 12am - 6am",54072.321616681,9.51420321104058
"34","Riverside",2024,"Q1","Morning: 6am - 12pm",179697.979265957,31.6184517370944
"35","Riverside",2024,"Q1","Afternoon: 12pm - 6pm",185461.48786158,32.6325600710413
"36","Riverside",2024,"Q1","Evening: 6pm - 12am",149100.844239002,26.2347849808238
"37","StLawrenceMarket",2024,"Q1","Early Morning: 12am - 6am",939492.256046081,17.3523718675818
"38","StLawrenceMarket",2024,"Q1","Morning: 6am - 12pm",1898294.58581692,35.0613997670852
"39","StLawrenceMarket",2024,"Q1","Afternoon: 12pm - 6pm",1508541.56038083,27.8626821721735
"40","StLawrenceMarket",2024,"Q1","Evening: 6pm - 12am",1067872.39529249,19.7235461931595
"41","WestQueenWest",2024,"Q1","Early Morning: 12am - 6am",140049.656925385,10.0749670152724
"42","WestQueenWest",2024,"Q1","Morning: 6am - 12pm",393896.024551433,28.3363025795695
"43","WestQueenWest",2024,"Q1","Afternoon: 12pm - 6pm",469968.274827796,33.8088287473433
"44","WestQueenWest",2024,"Q1","Evening: 6pm - 12am",386161.631169638,27.7799016578148
"45","DowntownWest",2023,"Q1","Early Morning: 12am - 6am",1771872.479,18.44556411
"46","DowntownWest",2023,"Q1","Morning: 6am - 12pm",2803269.267,29.18262098
"47","DowntownWest",2023,"Q1","Afternoon: 12pm - 6pm",3093502.785,32.20401277
"48","DowntownWest",2023,"Q1","Evening: 6pm - 12am",1937309.878,20.16780213
"49","DowntownWest",2022,"Q1","Early Morning: 12am - 6am",1478430.211,15.72456556
"50","DowntownWest",2022,"Q1","Morning: 6am - 12pm",2363273.524,25.13574818
"51","DowntownWest",2022,"Q1","Afternoon: 12pm - 6pm",3077071.106,32.72769049
"52","DowntownWest",2022,"Q1","Evening: 6pm - 12am",2483266.854,26.41199576
"53","DowntownYonge",2023,"Q1","Early Morning: 12am - 6am",1235211.619,14.54894658
"54","DowntownYonge",2023,"Q1","Morning: 6am - 12pm",2484708.403,29.26615107
"55","DowntownYonge",2023,"Q1","Afternoon: 12pm - 6pm",3190308,37.57705965
"56","DowntownYonge",2023,"Q1","Evening: 6pm - 12am",1579813.589,18.60784271
"57","DowntownYonge",2022,"Q1","Early Morning: 12am - 6am",1009649.626,11.97727334
"58","DowntownYonge",2022,"Q1","Morning: 6am - 12pm",2128432.231,25.24916959
"59","DowntownYonge",2022,"Q1","Afternoon: 12pm - 6pm",3676283.113,43.61101774
"60","DowntownYonge",2022,"Q1","Evening: 6pm - 12am",1615346.841,19.16253933
"61","FinancialDistrict",2023,"Q1","Early Morning: 12am - 6am",773596.3555,7.99659194
"62","FinancialDistrict",2023,"Q1","Morning: 6am - 12pm",3822706.823,39.51495681
"63","FinancialDistrict",2023,"Q1","Afternoon: 12pm - 6pm",3290751.079,34.01618088
"64","FinancialDistrict",2023,"Q1","Evening: 6pm - 12am",1787021.414,18.47227037
"65","FinancialDistrict",2022,"Q1","Early Morning: 12am - 6am",767826.607,7.096702089
"66","FinancialDistrict",2022,"Q1","Morning: 6am - 12pm",4042362.983,37.36188036
"67","FinancialDistrict",2022,"Q1","Afternoon: 12pm - 6pm",3759274.013,34.74540671
"68","FinancialDistrict",2022,"Q1","Evening: 6pm - 12am",2250021.241,20.79601084
"69","GerrardIndiaBaz",2023,"Q1","Early Morning: 12am - 6am",20855.66459,5.730833028
"70","GerrardIndiaBaz",2023,"Q1","Morning: 6am - 12pm",73345.46981,20.15426739
"71","GerrardIndiaBaz",2023,"Q1","Afternoon: 12pm - 6pm",176298.8608,48.4443605
"72","GerrardIndiaBaz",2023,"Q1","Evening: 6pm - 12am",93420.30214,25.67053908
"73","GerrardIndiaBaz",2022,"Q1","Early Morning: 12am - 6am",18862.6171,8.141463836
"74","GerrardIndiaBaz",2022,"Q1","Morning: 6am - 12pm",37011.71744,15.97496028
"75","GerrardIndiaBaz",2022,"Q1","Afternoon: 12pm - 6pm",106964.4434,46.16788556
"76","GerrardIndiaBaz",2022,"Q1","Evening: 6pm - 12am",68847.04025,29.71569032
"77","Greektown",2023,"Q1","Early Morning: 12am - 6am",73201.07899,5.349465629
"78","Greektown",2023,"Q1","Morning: 6am - 12pm",357400.9641,26.11852447
"79","Greektown",2023,"Q1","Afternoon: 12pm - 6pm",627947.7327,45.88982648
"80","Greektown",2023,"Q1","Evening: 6pm - 12am",309831.3686,22.64218342
"81","Greektown",2022,"Q1","Early Morning: 12am - 6am",44004.86301,3.958188807
"82","Greektown",2022,"Q1","Morning: 6am - 12pm",302099.5212,27.17351814
"83","Greektown",2022,"Q1","Afternoon: 12pm - 6pm",511737.6128,46.03023285
