"","Name","Year","Quarter","Type","Count","Percentage"
"1","DowntownWest",2024,"Q1","Resident",2254483.32684061,24.511809175172
"2","DowntownWest",2024,"Q1","Recurring Visitor",2399076.10649839,26.0838902728158
"3","DowntownWest",2024,"Q1","Infrequent Visitor",4543980.04948375,49.4043005520123
"4","DowntownYonge",2024,"Q1","Resident",1934929.20538528,23.1751679382567
"5","DowntownYonge",2024,"Q1","Recurring Visitor",2217686.71211084,26.5618307091371
"6","DowntownYonge",2024,"Q1","Infrequent Visitor",4196532.66490173,50.2630013526062
"7","FinancialDistrict",2024,"Q1","Resident",1275841.17188335,14.0902279182714
"8","FinancialDistrict",2024,"Q1","Recurring Visitor",1746892.72372183,19.2924614508842
"9","FinancialDistrict",2024,"Q1","Infrequent Visitor",6032060.52847161,66.6173106308444
"10","Greektown",2024,"Q1","Resident",244936.008059472,22.4168385119593
"11","Greektown",2024,"Q1","Recurring Visitor",250370.459387174,22.9142060439092
"12","Greektown",2024,"Q1","Infrequent Visitor",597336.493463293,54.6689554441314
"13","Leslieville",2024,"Q1","Resident",255958.64923059,29.0804228705197
"14","Leslieville",2024,"Q1","Recurring Visitor",255635.347002183,29.0436912908473
"15","Leslieville",2024,"Q1","Infrequent Visitor",368581.131791476,41.875885838633
"16","LibertyVillage",2024,"Q1","Resident",268351.235157066,23.9502887393264
"17","LibertyVillage",2024,"Q1","Recurring Visitor",296261.308057043,26.4412566094718
"18","LibertyVillage",2024,"Q1","Infrequent Visitor",555838.39613692,49.6084546512018
"19","PapeVillage",2024,"Q1","Resident",146037.496651225,36.5221018755775
"20","PapeVillage",2024,"Q1","Recurring Visitor",129446.822597578,32.372987423014
"21","PapeVillage",2024,"Q1","Infrequent Visitor",124376.283376811,31.1049107014085
"22","QueenStreet",2024,"Q1","Resident",382235.749739077,19.0427171593005
"23","QueenStreet",2024,"Q1","Recurring Visitor",414392.057321828,20.6447218660915
"24","QueenStreet",2024,"Q1","Infrequent Visitor",1210626.44421801,60.3125609746081
"25","Riverside",2024,"Q1","Resident",143084.924907854,25.1762641460144
"26","Riverside",2024,"Q1","Recurring Visitor",146233.319201826,25.7302344991588
"27","Riverside",2024,"Q1","Infrequent Visitor",279014.38887354,49.0935013548268
"28","StLawrenceMarket",2024,"Q1","Resident",1376568.7016037,25.4251505084571
"29","StLawrenceMarket",2024,"Q1","Recurring Visitor",1604665.97111958,29.6380949123603
"30","StLawrenceMarket",2024,"Q1","Infrequent Visitor",2432966.12481305,44.9367545791826
"31","WestQueenWest",2024,"Q1","Resident",374590.996044788,26.9475271287524
"32","WestQueenWest",2024,"Q1","Recurring Visitor",394158.306120803,28.3551707311818
"33","WestQueenWest",2024,"Q1","Infrequent Visitor",621326.285308661,44.6973021400658
"34","DowntownWest",2023,"Q1","Resident",2142881.417,27.05436769
"35","DowntownWest",2023,"Q1","Recurring Visitor",2392473.633,30.20552646
"36","DowntownWest",2023,"Q1","Infrequent Visitor",3385293.63,42.74010585
"37","DowntownWest",2022,"Q1","Resident",1721887.801,22.54695494
"38","DowntownWest",2022,"Q1","Recurring Visitor",1947782.206,25.50488924
"39","DowntownWest",2022,"Q1","Infrequent Visitor",3967227.327,51.94815582
"40","DowntownYonge",2023,"Q1","Resident",1820813.735,26.01746012
"41","DowntownYonge",2023,"Q1","Recurring Visitor",2070065.072,29.57899231
"42","DowntownYonge",2023,"Q1","Infrequent Visitor",3107551.195,44.40354757
"43","DowntownYonge",2022,"Q1","Resident",2121636.405,32.17015249
"44","DowntownYonge",2022,"Q1","Recurring Visitor",2371416.895,35.95754812
"45","DowntownYonge",2022,"Q1","Infrequent Visitor",2101992.855,31.87229938
"46","FinancialDistrict",2023,"Q1","Resident",1123709.18,14.39572296
"47","FinancialDistrict",2023,"Q1","Recurring Visitor",1600667.76,20.50599037
"48","FinancialDistrict",2023,"Q1","Infrequent Visitor",5081477.501,65.09828667
"49","FinancialDistrict",2022,"Q1","Resident",1237058.59,14.12061897
"50","FinancialDistrict",2022,"Q1","Recurring Visitor",1852412.51,21.1446826
"51","FinancialDistrict",2022,"Q1","Infrequent Visitor",5671183.033,64.73469842
"52","GerrardIndiaBaz",2023,"Q1","Resident",71245.35658,22.01188898
"53","GerrardIndiaBaz",2023,"Q1","Recurring Visitor",61128.94269,18.88633259
"54","GerrardIndiaBaz",2023,"Q1","Infrequent Visitor",191293.318,59.10177843
"55","GerrardIndiaBaz",2022,"Q1","Resident",51892.19739,25.61678454
"56","GerrardIndiaBaz",2022,"Q1","Recurring Visitor",43242.47247,21.34681428
"57","GerrardIndiaBaz",2022,"Q1","Infrequent Visitor",107436.4112,53.03640117
"58","Greektown",2023,"Q1","Resident",292334.0509,23.91687397
"59","Greektown",2023,"Q1","Recurring Visitor",275474.6987,22.53755124
"60","Greektown",2023,"Q1","Infrequent Visitor",654483.3075,53.54557479
