,Name,Year,Quarter,Period,targetrent,controlrent,yoy_growth
1,DowntownWest,2023,Q1,2023-01-01,57.67,54.7,5.429616088
2,DowntownYonge,2023,Q1,2023-01-01,53.27,50.57,5.339133874
3,FinancialDistrict,2023,Q1,2023-01-01,51.16,48.49,5.506289957
4,GerrardIndiaBaz,2023,Q1,2023-01-01,31.93,30.65,4.176182708
5,Greektown,2023,Q1,2023-01-01,36.2,34.71,4.292711034
6,Leslieville,2023,Q1,2023-01-01,36.13,34.59,4.452153802
7,LibertyVillage,2023,Q1,2023-01-01,36.7,35,4.857142857
8,PapeVillage,2023,Q1,2023-01-01,35.31,33.9,4.159292035
9,QueenStreet,2023,Q1,2023-01-01,62.45,59.88,4.291917168
10,Riverside,2023,Q1,2023-01-01,33.94,32.42,4.688463911
11,StLawrenceMarket,2023,Q1,2023-01-01,49.48,47.1,5.053078556
12,WestQueenWest,2023,Q1,2023-01-01,46.84,44.9,4.320712695
13,DowntownWest,2023,Q2,2023-04-01,58.48,55.77,4.859243321
14,DowntownYonge,2023,Q2,2023-04-01,53.99,51.52,4.794254658
15,FinancialDistrict,2023,Q2,2023-04-01,51.94,49.46,5.014152851
16,GerrardIndiaBaz,2023,Q2,2023-04-01,31.95,31.02,2.998065764
17,Greektown,2023,Q2,2023-04-01,36.31,35.19,3.182722364
18,Leslieville,2023,Q2,2023-04-01,36.24,35.07,3.336184773
19,LibertyVillage,2023,Q2,2023-04-01,36.99,35.58,3.962900506
20,PapeVillage,2023,Q2,2023-04-01,35.32,34.31,2.943748178
21,QueenStreet,2023,Q2,2023-04-01,62.74,60.74,3.292723082
22,Riverside,2023,Q2,2023-04-01,34.15,32.91,3.767851717
23,StLawrenceMarket,2023,Q2,2023-04-01,49.98,47.92,4.298831386
24,WestQueenWest,2023,Q2,2023-04-01,46.94,45.5,3.164835165
25,DowntownWest,2023,Q3,2023-07-01,58.7,56.55,3.801945181
26,DowntownYonge,2023,Q3,2023-07-01,54.19,52.24,3.732771822
27,FinancialDistrict,2023,Q3,2023-07-01,52.14,50.17,3.926649392
28,GerrardIndiaBaz,2023,Q3,2023-07-01,31.93,31.36,1.817602041
29,Greektown,2023,Q3,2023-07-01,36.31,35.58,2.051714446
30,Leslieville,2023,Q3,2023-07-01,36.25,35.48,2.170236753
31,LibertyVillage,2023,Q3,2023-07-01,37.07,36.02,2.915047196
32,PapeVillage,2023,Q3,2023-07-01,35.3,34.68,1.787773933
33,QueenStreet,2023,Q3,2023-07-01,62.91,61.4,2.459283388
34,Riverside,2023,Q3,2023-07-01,34.19,33.31,2.641849295
35,StLawrenceMarket,2023,Q3,2023-07-01,50.1,48.55,3.192584964
36,WestQueenWest,2023,Q3,2023-07-01,46.93,46.01,1.999565312
37,DowntownWest,2023,Q4,2023-10-01,57.82,57.13,1.207771749
38,DowntownYonge,2023,Q4,2023-10-01,53.23,52.77,0.87170741
39,FinancialDistrict,2023,Q4,2023-10-01,51.07,50.67,0.789421749
40,GerrardIndiaBaz,2023,Q4,2023-10-01,32.47,31.77,2.203336481
41,Greektown,2023,Q4,2023-10-01,36.7,36.01,1.916134407
42,Leslieville,2023,Q4,2023-10-01,36.67,35.91,2.116402116
43,LibertyVillage,2023,Q4,2023-10-01,36.71,36.43,0.76859731
44,PapeVillage,2023,Q4,2023-10-01,36.15,35.13,2.903501281
45,QueenStreet,2023,Q4,2023-10-01,63.26,62.14,1.802381719
46,Riverside,2023,Q4,2023-10-01,34.53,33.7,2.462908012
47,StLawrenceMarket,2023,Q4,2023-10-01,48.2,49.09,-1.812996537
48,WestQueenWest,2023,Q4,2023-10-01,47.4,46.58,1.760412194
