"","direction","AM_Control","PM_Control","AM_Target","PM_Target","AM_Diff","PM_Diff","Area","Year","Quarter"
"1","EB",190.66,181.12,230.73,205.423333333333,40.07,24.3033333333333,"DowntownWest",2023,"Q1"
"2","WB",169.786666666667,183.553333333333,186.826666666667,221.026666666667,17.04,37.4733333333333,"DowntownWest",2023,"Q1"
"3","EB",32.6066666666667,37.6933333333333,53.8766666666667,73.88,21.27,36.1866666666667,"DowntownYonge",2023,"Q1"
"4","WB",39.17,33.6,46.2166666666667,48.2233333333333,7.04666666666667,14.6233333333333,"DowntownYonge",2023,"Q1"
"5","EB",87.89,101.843333333333,181.183333333333,250.276666666667,93.2933333333333,148.433333333333,"FinancialDistrict",2023,"Q1"
"6","WB",97.7433333333333,93.0433333333333,107.266666666667,142.963333333333,9.52333333333334,49.92,"FinancialDistrict",2023,"Q1"
"7","EB",151.756666666667,139.496666666667,122.023333333333,169.5,-29.7333333333333,30.0033333333333,"GerrardIndiaBaz",2023,"Q1"
"8","WB",136.006666666667,119.25,117.613333333333,148.353333333333,-18.3933333333333,29.1033333333333,"GerrardIndiaBaz",2023,"Q1"
"9","EB",324.67,434.013333333333,318.203333333333,409.156666666667,-6.4666666666667,-24.8566666666667,"Greektown",2023,"Q1"
"10","WB",351.746666666667,406.42,381.583333333333,398.336666666667,29.8366666666667,-8.08333333333337,"Greektown",2023,"Q1"
"11","EB",194.676666666667,219.12,242.913333333333,185.263333333333,48.2366666666667,-33.8566666666667,"Leslieville",2023,"Q1"
"12","WB",193.363333333333,229.456666666667,239.23,254.896666666667,45.8666666666667,25.44,"Leslieville",2023,"Q1"
"13","EB",257.496666666667,266.33,254.213333333333,275.466666666667,-3.28333333333336,9.13666666666671,"LibertyVillage",2023,"Q1"
"14","WB",282.903333333333,254.07,243.036666666667,289.536666666667,-39.8666666666667,35.4666666666667,"LibertyVillage",2023,"Q1"
"15","NB",76.7666666666667,82.08,89.47,75.8166666666667,12.7033333333333,-6.26333333333334,"PapeVillage",2023,"Q1"
"16","SB",75.6266666666667,74.7333333333333,71.0333333333333,73.6633333333333,-4.59333333333333,-1.06999999999999,"PapeVillage",2023,"Q1"
"17","EB",307.466666666667,361.106666666667,299.356666666667,348.276666666667,-8.10999999999996,-12.83,"QueenStreet",2023,"Q1"
"18","WB",281.096666666667,362.573333333333,329.803333333333,391.713333333333,48.7066666666667,29.14,"QueenStreet",2023,"Q1"
"19","EB",228.756666666667,224.186666666667,249.87,247.77,21.1133333333333,23.5833333333333,"Riverside",2023,"Q1"
"20","WB",201.993333333333,256.823333333333,236.773333333333,259.166666666667,34.78,2.34333333333331,"Riverside",2023,"Q1"
"21","NB",149.566666666667,158.456666666667,156.076666666667,160.303333333333,6.51000000000002,1.84666666666666,"StLawrenceMarket",2023,"Q1"
"22","SB",185.05,124.126666666667,219.213333333333,178.426666666667,34.1633333333333,54.3,"StLawrenceMarket",2023,"Q1"
"23","EB",306.15,358.506666666667,388.283333333333,412.113333333333,82.1333333333333,53.6066666666667,"WestQueenWest",2023,"Q1"
"24","WB",313.126666666667,348.88,413.74,485.545,100.613333333333,136.665,"WestQueenWest",2023,"Q1"
