,Name,Year,Quarter,Period,targetvacancy,controlvacancy,yoy_growth
1,DowntownWest,2023,Q1,2023-01-01,1.86,4.22,-55.92417062
2,DowntownYonge,2023,Q1,2023-01-01,2.55,5.78,-55.88235294
3,FinancialDistrict,2023,Q1,2023-01-01,2.72,3.17,-14.1955836
4,GerrardIndiaBaz,2023,Q1,2023-01-01,0,0.29,-100
5,Greektown,2023,Q1,2023-01-01,2.22,1.78,24.71910112
6,Leslieville,2023,Q1,2023-01-01,2.55,2.5,2
7,LibertyVillage,2023,Q1,2023-01-01,1.63,2.22,-26.57657658
8,PapeVillage,2023,Q1,2023-01-01,0,0,NA
9,QueenStreet,2023,Q1,2023-01-01,4.21,4.3,-2.093023256
10,Riverside,2023,Q1,2023-01-01,0.77,0.97,-20.6185567
11,StLawrenceMarket,2023,Q1,2023-01-01,4.43,4.65,-4.731182796
12,WestQueenWest,2023,Q1,2023-01-01,1.64,1.48,10.81081081
13,DowntownWest,2023,Q2,2023-04-01,1.92,1.66,15.6626506
14,DowntownYonge,2023,Q2,2023-04-01,2.39,4.46,-46.41255605
15,FinancialDistrict,2023,Q2,2023-04-01,3.26,3.16,3.164556962
16,GerrardIndiaBaz,2023,Q2,2023-04-01,0,0,NA
17,Greektown,2023,Q2,2023-04-01,2.73,2.5,9.2
18,Leslieville,2023,Q2,2023-04-01,3.99,2.32,71.98275862
19,LibertyVillage,2023,Q2,2023-04-01,1.57,2.22,-29.27927928
20,PapeVillage,2023,Q2,2023-04-01,0,0.34,-100
21,QueenStreet,2023,Q2,2023-04-01,3.43,3.52,-2.556818182
22,Riverside,2023,Q2,2023-04-01,0.94,1.4,-32.85714286
23,StLawrenceMarket,2023,Q2,2023-04-01,2.08,3.41,-39.00293255
24,WestQueenWest,2023,Q2,2023-04-01,1.45,0.89,62.92134831
25,DowntownWest,2023,Q3,2023-07-01,1.83,1.88,-2.659574468
26,DowntownYonge,2023,Q3,2023-07-01,2.74,3.06,-10.45751634
27,FinancialDistrict,2023,Q3,2023-07-01,3.36,3.36,0
28,GerrardIndiaBaz,2023,Q3,2023-07-01,1.35,0,Inf
29,Greektown,2023,Q3,2023-07-01,2.25,2.28,-1.315789474
30,Leslieville,2023,Q3,2023-07-01,2.02,2.96,-31.75675676
31,LibertyVillage,2023,Q3,2023-07-01,1.46,1.63,-10.42944785
32,PapeVillage,2023,Q3,2023-07-01,0,0,NA
33,QueenStreet,2023,Q3,2023-07-01,3.19,4.16,-23.31730769
34,Riverside,2023,Q3,2023-07-01,0.14,0.88,-84.09090909
35,StLawrenceMarket,2023,Q3,2023-07-01,1.5,4.74,-68.35443038
36,WestQueenWest,2023,Q3,2023-07-01,1.37,1.02,34.31372549
37,DowntownWest,2023,Q4,2023-10-01,1.89,2.31,-18.18181818
38,DowntownYonge,2023,Q4,2023-10-01,2.62,2.65,-1.132075472
39,FinancialDistrict,2023,Q4,2023-10-01,2.08,1.11,87.38738739
40,GerrardIndiaBaz,2023,Q4,2023-10-01,0.96,0,Inf
41,Greektown,2023,Q4,2023-10-01,1.67,2.14,-21.96261682
42,Leslieville,2023,Q4,2023-10-01,1.82,2.98,-38.9261745
43,LibertyVillage,2023,Q4,2023-10-01,0.05,1.63,-96.93251534
44,PapeVillage,2023,Q4,2023-10-01,0,0,NA
45,QueenStreet,2023,Q4,2023-10-01,2.35,3.82,-38.48167539
46,Riverside,2023,Q4,2023-10-01,0.58,0.64,-9.375
47,StLawrenceMarket,2023,Q4,2023-10-01,2.37,4.24,-44.10377358
48,WestQueenWest,2023,Q4,2023-10-01,1.94,0.8,142.5
